customer_id;age;gender;location;monthly_income;employment_status;education_level;months_active;avg_transaction_value;transaction_frequency;savings_balance;loan_amount;loan_term_days;interest_rate;days_since_last_loan;loan_repaid;transaction_consistency;evening_transaction_ratio;weekend_transaction_ratio;repayment_probability;predicted_repayment;income_category;risk_segment
27;39;Female;Urban;698,7;Self-Employed;None;20;51,6;20;160,01;360,12;60;15,87;22;1;0,8;0,41;0,31;0,78;1;Medium;Medium Risk
28;61;Male;Urban;694,87;Self-Employed;Secondary;29;13,52;13;51,42;399,61;30;14,05;145;1;0,68;0,12;0,2;0,82;1;Medium;Low Risk
29;42;Female;Rural;627,52;Self-Employed;None;14;77,22;16;42,99;357,2;30;11,9;13;0;0,74;0,29;0,42;0,58;1;Medium;Medium Risk
30;44;Male;Urban;694,27;Employed;Secondary;25;50,94;12;142,31;369,78;60;11,93;305;1;0,54;0,24;0,2;0,69;1;Medium;Medium Risk
31;59;Male;Urban;692,87;Self-Employed;Secondary;25;55,96;16;246,78;438,85;30;9,28;316;1;0,72;0,13;0,38;0,79;1;Medium;Medium Risk
32;45;Male;Semi-Urban;726,59;Unemployed;Primary;27;53,65;15;158,36;570,67;30;10,89;35;0;0,72;0,4;0,44;0,29;0;Medium;High Risk
33;33;Female;Semi-Urban;718,2;Employed;Secondary;6;39,67;24;133,09;549,81;30;6,25;270;0;0,46;0,18;0,23;0,44;0;Medium;High Risk
34;32;Male;Semi-Urban;872,9;Employed;Secondary;32;63,97;14;233,94;391,57;30;16,98;260;1;0,83;0,48;0,57;0,82;1;Medium;Low Risk
35;64;Male;Urban;823,64;Employed;Primary;32;50,1;23;0,0;436,66;30;18,65;52;1;0,36;0,27;0,67;0,8;1;Medium;Medium Risk
36;61;Male;Urban;850,21;Self-Employed;Secondary;15;8,31;14;145,76;768,87;30;6,17;47;0;0,74;0,25;0,42;0,51;1;Medium;Medium Risk
37;20;Female;Urban;1256,69;Employed;Secondary;16;47,84;21;233,83;697,33;60;7,7;10;1;1,0;0,25;0,36;0,91;1;High;Low Risk
38;54;Male;Urban;823,02;Self-Employed;Secondary;10;44,45;20;159,66;609,64;30;16,09;257;1;0,84;0,34;0,58;0,84;1;Medium;Low Risk
39;24;Male;Urban;1463,27;Employed;Tertiary;26;63,93;14;329,92;145,73;60;9,65;342;1;0,83;0,18;0,5;0,9;1;High;Low Risk
40;38;Male;Urban;905,81;Employed;Secondary;20;104,03;11;133,87;521,41;60;16,16;279;1;0,52;0,3;0,24;0,74;1;Medium;Medium Risk
41;26;Male;Semi-Urban;665,82;Self-Employed;Secondary;27;57,55;8;140,78;364,91;30;14,26;209;1;1,0;0,29;0,56;0,76;1;Medium;Medium Risk
42;56;Male;Rural;1204,87;Employed;None;19;92,4;20;101,4;308,7;30;11,04;323;1;0,98;0,22;0,29;0,89;1;High;Low Risk
43;35;Female;Urban;776,14;Unemployed;Tertiary;34;36,28;10;124,23;428,06;60;14,83;334;1;0,53;0,46;0,82;0,74;1;Medium;Medium Risk
44;21;Male;Urban;200,0;Employed;None;26;37,56;14;227,7;709,42;30;11,89;11;1;0,61;0,11;0,44;0,67;1;Low;Medium Risk
45;42;Male;Rural;798,8;Self-Employed;Secondary;9;45,07;13;280,81;677,66;30;11,84;250;1;0,95;0,28;0,55;0,83;1;Medium;Low Risk
46;31;Female;Urban;725,25;Employed;Tertiary;15;58,5;14;415,49;376,1;30;13,59;322;0;1,0;0,47;0,76;0,51;1;Medium;Medium Risk
47;26;Male;Semi-Urban;1281,96;Employed;Secondary;29;37,19;15;257,74;516,92;30;14,38;159;1;0,45;0,43;0,38;0,9;1;High;Low Risk
48;43;Male;Urban;530,73;Unemployed;Primary;7;17,76;17;82,22;415,69;60;15,01;35;0;0,5;0,17;0,15;0,3;0;Medium;High Risk
49;19;Female;Urban;700,2;Unemployed;Tertiary;28;50,46;10;324,17;451,99;60;19,07;148;0;0,67;0,08;0,27;0,22;0;Medium;High Risk
50;37;Male;Urban;1180,29;Employed;Secondary;33;27,14;19;248,71;699,51;30;13,09;197;1;0,27;0,73;0,53;0,92;1;High;Low Risk
51;45;Male;Urban;918,32;Self-Employed;Primary;12;72,32;14;202,87;487,37;90;15,88;245;1;0,7;0,54;0,47;0,81;1;Medium;Low Risk
52;64;Male;Rural;748,56;Self-Employed;Primary;28;62,88;16;306,73;148,56;30;15,8;203;1;0,94;0,29;0,19;0,6;1;Medium;Medium Risk
53;24;Male;Rural;573,05;Employed;Tertiary;24;34,81;14;436,8;527,74;60;14,06;43;0;0,41;0,51;0,5;0,64;1;Medium;Medium Risk
54;61;Male;Rural;905,52;Employed;Primary;14;59,12;18;181,1;863,27;60;10,42;314;1;0,73;0,21;0,58;0,8;1;Medium;Medium Risk
55;25;Male;Urban;791,21;Unemployed;Primary;34;39,04;16;116,7;360,0;60;15,29;318;0;0,58;0,3;0,4;0,36;0;Medium;High Risk
56;64;Male;Rural;569,65;Unemployed;Secondary;29;48,96;15;332,74;809,71;30;13,34;205;1;1,0;0,42;0,81;0,36;0;Medium;High Risk
57;52;Male;Rural;585,25;Unemployed;Primary;35;49,17;13;465,63;623,49;60;8,13;240;0;0,59;0,35;0,31;0,3;0;Medium;High Risk
58;31;Female;Semi-Urban;555,66;Self-Employed;None;22;43,29;13;214,49;735,25;30;15,04;40;1;1,0;0,19;0,48;0,84;1;Medium;Low Risk
59;34;Female;Urban;502,23;Self-Employed;Secondary;15;66,61;14;203,09;675,09;30;7,12;75;0;0,58;0,71;0,25;0,52;1;Medium;Medium Risk
60;53;Male;Urban;1080,21;Employed;Secondary;16;27,62;10;217,21;535,56;30;13,94;201;1;0,85;0,18;0,23;0,89;1;High;Low Risk
61;57;Male;Rural;1039,82;Employed;None;24;60,74;11;244,93;377,35;60;10,34;362;1;0,75;0,62;0,24;0,94;1;High;Low Risk
62;21;Female;Rural;1080,7;Employed;Secondary;20;56,09;13;59,15;535,13;30;12,49;94;1;0,67;0,44;0,51;0,86;1;High;Low Risk
63;19;Male;Urban;801,35;Self-Employed;Secondary;31;21,91;24;230,59;546,64;30;7,82;27;0;0,54;0,34;0,35;0,51;1;Medium;Medium Risk
64;23;Male;Urban;727,21;Self-Employed;Tertiary;18;34,11;17;227,35;694,31;30;9,83;143;1;0,76;0,36;0,42;0,82;1;Medium;Low Risk
65;59;Female;Urban;732,69;Unemployed;Secondary;5;28,12;15;221,59;100,0;30;10,43;58;0;0,61;0,43;0,49;0,31;0;Medium;High Risk
66;21;Male;Semi-Urban;1106,33;Unemployed;Secondary;6;42,67;15;216,7;214,03;30;11,54;128;1;0,56;0,28;0,22;0,46;0;High;High Risk
67;46;Female;Urban;253,96;Unemployed;Tertiary;7;50,97;14;209,63;547,26;90;10,22;341;1;0,99;0,24;0,34;0,3;0;Low;High Risk
68;35;Female;Semi-Urban;645,65;Unemployed;Tertiary;12;31,43;21;0,0;566,55;30;13,04;0;1;0,81;0,34;0,58;0,7;1;Medium;Medium Risk
69;43;Male;Rural;533,8;Employed;Tertiary;31;69,38;22;127,9;326,55;30;13,43;286;1;0,83;0,58;0,73;0,73;1;Medium;Medium Risk
70;61;Male;Semi-Urban;1207,97;Self-Employed;None;34;71,16;8;285,59;571,46;60;10,66;21;1;0,62;0,17;0,59;0,89;1;High;Low Risk
71;51;Male;Semi-Urban;656,76;Self-Employed;Tertiary;33;74,69;16;309,04;635,67;60;12,12;225;0;0,66;0,38;0,41;0,55;1;Medium;Medium Risk
72;27;Female;Urban;309,2;Employed;Tertiary;4;5,0;15;157,71;461,06;60;13,59;203;0;0,65;0,2;0,52;0,67;1;Low;Medium Risk
73;53;Female;Semi-Urban;867,03;Unemployed;Tertiary;14;88,96;16;104,35;785,91;60;5,27;186;0;0,77;0,22;0,5;0,58;1;Medium;Medium Risk
74;31;Female;Urban;688,97;Unemployed;Primary;29;53,32;16;271,7;823,29;30;13,33;283;0;0,83;0,76;0,51;0,32;0;Medium;High Risk
75;48;Male;Semi-Urban;632,92;Employed;Secondary;7;50,95;14;227,28;524,36;60;10,07;331;0;0,69;0,53;0,41;0,61;1;Medium;Medium Risk
76;32;Female;Rural;601,99;Employed;Tertiary;29;47,96;12;187,79;668,17;30;5,0;26;1;0,54;0,08;0,33;0,78;1;Medium;Medium Risk
77;25;Female;Urban;590,15;Self-Employed;Secondary;25;23,58;25;286,19;160,73;60;10,82;342;1;0,85;0,39;0,16;0,65;1;Medium;Medium Risk
78;31;Female;Rural;1012,57;Self-Employed;Primary;35;57,2;9;82,13;714,67;90;8,98;128;1;0,71;0,08;0,32;0,92;1;High;Low Risk
79;40;Female;Semi-Urban;867,14;Unemployed;Secondary;6;82,24;16;316,1;793,2;60;10,59;362;0;0,41;0,45;0,1;0,33;0;Medium;High Risk
80;57;Female;Urban;740,61;Employed;Secondary;23;53,08;14;49,8;296,92;60;13,4;94;0;0,27;0,06;0,21;0,36;0;Medium;High Risk
81;38;Female;Rural;470,53;Employed;Secondary;26;27,7;14;117,48;623,34;30;14,55;65;0;0,76;0,05;0,39;0,53;1;Low;Medium Risk
82;33;Male;Rural;749,33;Employed;Tertiary;33;19,49;13;95,91;125,29;30;15,87;176;1;0,53;0,37;0,48;0,77;1;Medium;Medium Risk
83;62;Male;Semi-Urban;878,19;Employed;None;26;44,12;20;141,75;342,65;90;16,05;274;1;0,79;0,15;0,59;0,77;1;Medium;Medium Risk
84;35;Male;Urban;889,6;Employed;Tertiary;12;35,12;13;230,61;395,94;30;8,89;155;1;0,54;0,56;0,31;0,8;1;Medium;Low Risk
85;64;Female;Urban;848,27;Unemployed;Tertiary;4;64,05;9;267,84;205,05;30;15,63;18;1;0,73;0,2;0,2;0,5;0;Medium;High Risk
86;41;Male;Urban;523,22;Employed;Secondary;33;77,41;18;191,85;452,4;60;8,33;319;1;0,62;0,38;0,36;0,76;1;Medium;Medium Risk
87;43;Female;Rural;200,0;Self-Employed;Secondary;27;59,39;14;72,24;439,21;30;15,17;57;0;1,0;0,34;0,49;0,67;1;Low;Medium Risk
88;42;Female;Urban;1339,89;Employed;Secondary;6;48,3;15;0,0;623,36;60;13,71;272;1;0,89;0,13;0,45;0,92;1;High;Low Risk
89;62;Female;Semi-Urban;407,11;Employed;Secondary;13;47,35;20;284,64;197,22;60;12,51;197;1;0,97;0,49;0,53;0,73;1;Low;Medium Risk
90;58;Male;Urban;210,51;Unemployed;Primary;19;51,42;22;272,26;624,67;30;9,34;78;0;0,7;0,23;0,26;0,18;0;Low;High Risk
91;46;Male;Rural;839,15;Self-Employed;Secondary;4;26,8;10;307,09;342,17;30;15,59;40;1;0,86;0,34;0,36;0,85;1;Medium;Low Risk
92;32;Male;Urban;287,44;Self-Employed;Secondary;8;62,05;10;186,76;244,3;30;8,98;225;1;0,72;0,27;0,22;0,71;1;Low;Medium Risk
93;62;Female;Urban;558,56;Self-Employed;Secondary;11;28,38;18;266,82;460,72;60;11,93;260;1;0,99;0,55;0,31;0,8;1;Medium;Low Risk
94;18;Female;Urban;964,66;Employed;None;7;72,32;15;136,05;650,55;30;12,2;244;0;0,69;0,61;0,23;0,54;1;Medium;Medium Risk
95;42;Female;Urban;1331,81;Self-Employed;Secondary;22;42,74;19;248,06;403,16;30;6,91;22;1;0,42;0,11;0,63;0,94;1;High;Low Risk
96;24;Male;Rural;916,25;Employed;Primary;31;66,62;11;152,03;602,78;60;12,45;196;0;0,3;0,17;0,59;0,45;0;Medium;High Risk
97;26;Female;Semi-Urban;668,25;Unemployed;Secondary;23;20,53;9;118,57;555,78;30;8,71;235;0;1,0;0,13;0,53;0,26;0;Medium;High Risk
98;41;Female;Rural;784,57;Employed;Secondary;11;66,48;14;223,2;1126,93;30;16,32;125;0;0,8;0,07;0,58;0,83;1;Medium;Low Risk
99;18;Male;Semi-Urban;257,42;Self-Employed;Secondary;30;77,25;16;217,98;437,48;60;20,11;265;0;0,81;0,16;0,15;0,34;0;Low;High Risk
100;61;Female;Semi-Urban;664,77;Employed;Primary;10;24,37;17;291,16;466,7;90;9,8;323;1;1,0;0,09;0,22;0,76;1;Medium;Medium Risk
101;25;Male;Rural;665,07;Self-Employed;Secondary;33;47,73;16;71,54;721,58;30;10,82;139;1;0,37;0,39;0,49;0,84;1;Medium;Low Risk
102;41;Male;Semi-Urban;846,0;Unemployed;None;22;56,7;12;292,71;489,66;30;12,5;315;0;0,63;0,03;0,29;0,39;0;Medium;High Risk
103;28;Female;Rural;1382,66;Self-Employed;Secondary;29;57,68;6;212,99;550,2;30;5,82;126;0;0,65;0,14;0,48;0,44;0;High;High Risk
104;34;Male;Urban;218,96;Self-Employed;None;10;43,21;12;306,8;148,67;60;16,93;285;1;0,85;0,29;0,32;0,8;1;Low;Medium Risk
105;25;Female;Rural;677,7;Unemployed;Tertiary;23;39,68;11;305,76;475,62;30;11,04;113;0;0,56;0,34;0,75;0,28;0;Medium;High Risk
106;52;Female;Urban;249,95;Self-Employed;Primary;30;55,07;11;0,0;358,98;90;10,8;324;1;0,46;0,26;0,51;0,72;1;Low;Medium Risk
107;52;Male;Rural;648,99;Employed;Tertiary;25;57,05;15;304,86;404,1;30;14,07;12;0;0,46;0,18;0,63;0,57;1;Medium;Medium Risk
108;50;Male;Rural;540,62;Employed;Secondary;8;37,45;15;309,31;551,31;30;12,25;227;0;0,93;0,26;0,13;0,57;1;Medium;Medium Risk
109;22;Male;Urban;351,7;Self-Employed;Primary;5;33,5;16;74,17;489,02;30;12,49;8;1;0,55;0,23;0,54;0,83;1;Low;Low Risk
110;59;Male;Urban;1073,93;Self-Employed;Secondary;7;74,23;13;43,81;654,43;60;14,53;145;1;0,59;0,43;0,43;0,93;1;High;Low Risk
111;56;Male;Semi-Urban;876,69;Employed;Tertiary;11;52,15;16;277,47;690,8;30;11,62;162;1;0,83;0,2;0,52;0,82;1;Medium;Low Risk
112;58;Male;Rural;1038,76;Employed;Primary;9;5,0;17;211,36;464,56;30;8,63;222;1;0,56;0,27;0,38;0,88;1;High;Low Risk
113;45;Male;Urban;640,5;Unemployed;None;6;74,35;18;135,76;559,9;30;15,67;215;1;0,36;0,29;0,21;0,69;1;Medium;Medium Risk
114;24;Male;Rural;778,79;Employed;Tertiary;7;38,06;10;343,88;100,0;60;10,24;168;1;0,38;0,11;0,25;0,67;1;Medium;Medium Risk
115;26;Male;Rural;1278,39;Self-Employed;None;13;51,33;16;230,25;562,92;30;10,41;25;1;0,69;0,27;0,3;0,95;1;High;Low Risk
116;25;Female;Rural;799,18;Employed;Secondary;17;57,5;12;0,0;710,6;60;12,69;124;1;0,8;0,41;0,28;0,81;1;Medium;Low Risk
117;29;Female;Semi-Urban;1042,39;Unemployed;None;15;20,33;12;98,24;318,05;30;8,08;299;1;0,66;0,21;0,79;0,52;1;High;Medium Risk
118;51;Male;Rural;614,76;Employed;Secondary;9;44,22;14;304,23;651,1;90;12,72;249;0;0,79;0,21;0,43;0,68;1;Medium;Medium Risk
119;50;Male;Urban;1014,81;Self-Employed;Primary;8;76,35;21;203,58;409,61;60;14,84;9;1;0,38;0,05;0,23;0,88;1;High;Low Risk
120;40;Female;Semi-Urban;635,32;Employed;Tertiary;32;71,79;15;128,03;384,66;30;16,74;104;1;0,39;0,16;0,36;0,73;1;Medium;Medium Risk
121;41;Female;Semi-Urban;231,07;Self-Employed;Tertiary;24;44,19;16;245,25;784,84;90;14,22;105;1;1,0;0,49;0,48;0,83;1;Low;Low Risk
122;54;Female;Urban;797,73;Unemployed;Secondary;27;64,32;11;139,23;493,42;30;15,22;0;1;0,95;0,13;0,41;0,66;1;Medium;Medium Risk
123;52;Female;Urban;658,91;Employed;Secondary;30;66,95;12;75,29;673,36;60;10,08;181;0;0,85;0,28;0,41;0,74;1;Medium;Medium Risk
124;61;Male;Urban;312,57;Self-Employed;Primary;22;65,93;23;301,67;109,48;30;14,48;301;1;0,57;0,2;0,65;0,7;1;Low;Medium Risk
125;57;Male;Rural;857,45;Self-Employed;Secondary;5;27,08;15;316,75;378,03;30;11,43;140;0;0,65;0,11;0,33;0,59;1;Medium;Medium Risk
126;39;Male;Rural;531,94;Employed;Secondary;7;82,82;16;248,11;642,32;30;15,48;229;1;0,7;0,04;0,52;0,8;1;Medium;Low Risk
127;44;Male;Rural;1727,79;Unemployed;Secondary;3;40,72;17;46,54;524,88;30;12,31;63;0;0,96;0,31;0,4;0,28;0;Very High;High Risk
128;52;Male;Semi-Urban;360,67;Employed;Secondary;17;52,19;15;385,02;463,23;30;15,23;77;1;0,78;0,23;0,68;0,76;1;Low;Medium Risk
129;18;Male;Rural;436,12;Self-Employed;None;28;42,97;16;381,6;620,8;60;12,48;231;1;0,81;0,18;0,22;0,68;1;Low;Medium Risk
130;52;Male;Urban;1060,87;Employed;Secondary;5;54,6;15;327,3;333,73;30;9,7;86;1;0,67;0,22;0,73;0,89;1;High;Low Risk
131;54;Female;Urban;760,09;Employed;Tertiary;7;32,71;14;230,38;743,45;60;12,12;182;1;0,86;0,01;0,3;0,77;1;Medium;Medium Risk
132;64;Female;Urban;1054,76;Employed;None;33;45,5;15;209,11;457,48;60;11,01;318;1;0,76;0,28;0,27;0,91;1;High;Low Risk
133;31;Male;Urban;914,12;Self-Employed;Secondary;15;53,66;16;243,73;336,85;60;15,89;145;0;0,71;0,15;0,69;0,56;1;Medium;Medium Risk
134;20;Female;Rural;625,31;Self-Employed;Primary;3;74,49;19;85,84;349,99;60;7,93;316;1;0,55;0,56;0,42;0,68;1;Medium;Medium Risk
135;18;Male;Semi-Urban;386,27;Self-Employed;Primary;24;72,08;19;145,5;483,69;30;6,97;91;1;0,68;0,28;0,66;0,71;1;Low;Medium Risk
136;22;Female;Urban;1121,32;Employed;Tertiary;17;73,09;24;141,37;414,7;30;12,88;122;1;0,48;0,18;0,25;0,86;1;High;Low Risk
137;43;Male;Rural;413,46;Employed;Primary;28;67,37;11;260,72;605,23;30;11,03;275;1;0,69;0,13;0,2;0,71;1;Low;Medium Risk
138;31;Female;Rural;967,67;Self-Employed;Secondary;20;86,93;18;224,71;490,73;90;8,56;63;0;0,72;0,42;0,32;0,57;1;Medium;Medium Risk
139;56;Female;Urban;1075,7;Unemployed;Primary;11;44,2;14;104,17;428,8;30;11,89;331;1;0,22;0,69;0,15;0,76;1;High;Medium Risk
140;44;Male;Urban;761,92;Employed;Primary;3;46,84;19;40,74;570,68;60;12,8;218;1;0,65;0,51;0,36;0,69;1;Medium;Medium Risk
141;26;Male;Urban;708,76;Self-Employed;Secondary;11;46,02;13;235,56;394,09;60;15,69;191;1;0,46;0,23;0,71;0,85;1;Medium;Low Risk
142;32;Male;Urban;504,88;Employed;None;25;48,78;16;93,68;598,27;90;6,44;106;1;0,8;0,23;0,51;0,77;1;Medium;Medium Risk
143;32;Male;Semi-Urban;938,82;Self-Employed;Secondary;4;21,28;12;74,48;565,28;30;12,56;246;1;0,83;0,3;0,4;0,74;1;Medium;Medium Risk
144;43;Male;Urban;200,0;Unemployed;None;16;55,3;11;409,65;557,05;30;16,92;56;0;0,61;0,15;0,4;0,28;0;Low;High Risk
145;59;Female;Urban;1014,72;Unemployed;None;20;59,92;12;430,97;428,41;60;16,78;44;0;0,81;0,34;0,31;0,21;0;High;High Risk
146;30;Male;Rural;835,84;Self-Employed;Primary;18;44,85;11;155,1;374,08;60;12,28;85;0;0,82;0,06;0,47;0,74;1;Medium;Medium Risk
147;49;Female;Semi-Urban;733,16;Employed;Secondary;31;14,85;15;17,66;661,74;60;10,23;37;1;0,65;0,67;0,27;0,79;1;Medium;Medium Risk
148;56;Female;Urban;872,69;Unemployed;Tertiary;13;50,43;16;321,09;622,81;60;11,19;181;0;1,0;0,22;0,5;0,24;0;Medium;High Risk
149;49;Male;Urban;387,93;Self-Employed;Tertiary;8;24,11;13;233,61;298,4;60;9,05;163;1;0,55;0,37;0,53;0,83;1;Low;Low Risk
150;21;Male;Urban;200,0;Employed;Secondary;5;58,55;15;277,0;413,43;30;10,68;244;1;0,99;0,12;0,15;0,75;1;Low;Medium Risk
151;47;Male;Urban;940,57;Self-Employed;None;16;52,39;17;136,52;767,94;60;12,23;322;1;0,65;0,48;0,55;0,8;1;Medium;Low Risk
152;54;Female;Urban;1194,96;Unemployed;Primary;4;54,35;22;96,17;696,8;60;13,41;125;0;0,53;0,15;0,35;0,15;0;High;High Risk
153;40;Male;Rural;278,18;Unemployed;Primary;34;28,78;12;176,06;266,0;30;14,56;206;0;0,63;0,07;0,15;0,25;0;Low;High Risk
154;56;Female;Urban;484,26;Employed;Secondary;33;75,23;17;217,43;502,38;30;11,67;266;0;0,48;0,39;0,47;0,54;1;Low;Medium Risk
155;62;Female;Urban;1025,7;Self-Employed;Secondary;13;53,4;13;126,86;583,8;60;11,45;353;1;0,86;0,75;0,61;0,81;1;High;Low Risk
156;32;Male;Semi-Urban;907,67;Unemployed;Primary;24;31,72;11;329,67;698,73;60;14,63;86;0;0,38;0,3;0,34;0,43;0;Medium;High Risk
157;60;Male;Urban;1688,93;Employed;Secondary;5;61,59;15;26,26;525,42;30;10,97;144;1;0,98;0,05;0,16;0,92;1;Very High;Low Risk
158;46;Female;Urban;1122,7;Self-Employed;Primary;33;51,95;15;240,93;596,77;30;14,1;121;0;0,51;0,24;0,2;0,51;1;High;Medium Risk
159;53;Female;Urban;1050,63;Self-Employed;Secondary;35;86,74;13;212,63;686,27;60;7,04;97;1;0,87;0,37;0,22;0,86;1;High;Low Risk
160;30;Male;Semi-Urban;570,86;Self-Employed;Tertiary;26;38,94;12;321,88;713,14;30;13,4;288;1;0,7;0,18;0,29;0,79;1;Medium;Medium Risk
161;49;Male;Urban;957,44;Employed;Tertiary;3;25,05;18;104,07;463,85;30;18,34;132;1;0,75;0,5;0,73;0,73;1;Medium;Medium Risk
162;24;Female;Semi-Urban;1248,62;Self-Employed;Secondary;17;55,79;19;270,58;509,11;60;9,22;336;1;0,58;0,67;0,53;0,95;1;High;Low Risk
163;39;Male;Rural;750,68;Unemployed;Secondary;29;70,24;9;247,71;348,39;30;16,3;317;1;0,77;0,27;0,46;0,71;1;Medium;Medium Risk
164;45;Female;Urban;764,84;Self-Employed;Secondary;29;96,46;19;224,41;445,37;90;14,08;64;0;0,73;0,2;0,31;0,54;1;Medium;Medium Risk
165;19;Male;Semi-Urban;842,41;Self-Employed;Primary;14;118,37;12;111,34;418,52;30;14,62;198;1;0,41;0,25;0,45;0,78;1;Medium;Medium Risk
166;59;Male;Urban;600,65;Employed;Secondary;5;18,96;18;122,69;462,28;30;14,01;124;1;0,51;0,34;0,61;0,61;1;Medium;Medium Risk
167;62;Female;Urban;880,69;Employed;Primary;32;47,3;10;170,37;481,15;30;10,09;345;0;0,59;0,2;0,61;0,5;1;Medium;Medium Risk
168;23;Male;Semi-Urban;873,19;Self-Employed;Tertiary;34;25,12;27;149,73;662,67;30;8,09;207;1;0,55;0,3;0,42;0,77;1;Medium;Medium Risk
169;45;Male;Rural;1244,0;Employed;None;25;45,05;18;326,01;569,86;30;13,42;207;1;0,95;0,01;0,32;0,91;1;High;Low Risk
170;45;Male;Rural;743,18;Unemployed;Secondary;4;99,54;18;213,56;244,01;60;11,63;299;1;0,7;0,17;0,46;0,76;1;Medium;Medium Risk
171;61;Male;Urban;1002,42;Employed;Tertiary;9;33,61;14;279,48;610,08;30;7,82;120;1;0,54;0,3;0,42;0,94;1;High;Low Risk
